key_mlbam,player_name,is_pitcher,team,player_id
642547,Freddy Peralta,True,TBR,peraf001
664076,Garrett Cleavinger,True,TBR,cleag001
693855,Ian Seymour,True,TBR,seymi001
666018,Jonathan Aranda,False,TBR,aranj001
676356,Jonny DeLuca,False,TBR,deluj001
622761,Jorge Mateo,False,TBR,matej003
691406,Junior Caminero,False,TBR,camij001
687330,Kevin Kelly,True,TBR,kellk004
689414,Liam Hicks,False,TBR,hickl001
663743,Nick Fortes,False,TBR,fortn001
607259,Nick Martinez,True,TBR,martn002
680700,Richie Palacios,False,TBR,palar002
668723,Ryan Vilade,False,TBR,vilar001
663556,Shane McClanahan,True,TBR,mccls003
571927,Steven Matz,True,TBR,matzs001
670764,Taylor Walls,False,TBR,wallt003
669330,Tyler Wells,True,TBR,wellt003
650490,Yandy Díaz,False,TBR,diazy001
607043,Brandon Nimmo,False,TEX,nimmb001
615698,Cal Quantrill,True,TEX,quanc001
681217,Chase Silseth,True,TEX,silsc001
674003,Cody Bradford,True,TEX,bradc003
683227,Cody Freeman,False,TEX,freec003
668390,Cole Winn,True,TEX,winnc001
608369,Corey Seager,False,TEX,seagc001
643376,Danny Jansen,False,TEX,jansd001
553869,Elias Díaz,False,TEX,diaze005
694497,Evan Carter,False,TEX,carte001
677649,Ezequiel Duran,False,TEX,durae002
656641,Jacob Latz,True,TEX,latzj001
594798,Jacob deGrom,True,TEX,degrj001
669394,Jake Burger,False,TEX,burgj001
596001,Jakob Junis,True,TEX,junij001
672284,Jarred Kelenic,False,TEX,kelej001
592626,Joc Pederson,False,TEX,pedej001
656756,Jordan Montgomery,True,TEX,montj004
679822,Justin Foscue,False,TEX,foscj001
677958,Kumar Rocker,True,TEX,rockk001
669022,MacKenzie Gore,True,TEX,gorem001
670032,Nicky Lopez,False,TEX,lopen001
641302,Tyler Alexander,True,TEX,alext001
694671,Wyatt Langford,False,TEX,langw001
672386,Alejandro Kirk,False,TOR,kirka001
665926,Andrés Giménez,False,TOR,gimea001
680755,Braydon Fisher,True,TOR,fishb002
663893,Brendon Little,True,TOR,littb002
663662,Daz Cameron,False,TOR,camed001
656302,Dylan Cease,True,TOR,ceasd001
676391,Ernie Clement,False,TOR,cleme002
543807,George Springer,False,TOR,sprig001
660821,Jesús Sánchez,False,TOR,sancj003
667755,José Soriano,True,TOR,sorij002
669701,Josh Smith,False,TOR,smitj007
686973,Louis Varland,True,TOR,varll001
689254,Mason Fluharty,True,TOR,fluhm001
453286,Max Scherzer,True,TOR,schem001
664702,Myles Straw,False,TOR,stram002
664770,Nathan Lukes,False,TOR,luken001
623149,Paul Sewald,True,TOR,sewap001
669456,Shane Bieber,True,TOR,biebs001
680573,Simeon Woods Richardson,True,TOR,woods002
643511,Tyler Rogers,True,TOR,roget002
621345,A.J. Minter,True,MIN,minta001
702176,Alan Roden,False,MIN,rodea001
656577,Alex Jackson,False,MIN,jacka002
641927,Bailey Ober,True,MIN,oberb002
686797,Brooks Lee,False,MIN,lee-b002
621439,Byron Buxton,False,MIN,buxtb001
665152,Dean Kremer,True,MIN,kremd001
656546,Jeff Hoffman,True,MIN,hoffj003
605137,Josh Bell,False,MIN,bellj005
665019,Kody Clemens,False,MIN,clemk001
681892,Kody Funderburk,True,MIN,fundk001
807712,Luke Keaschall,False,MIN,keasl001
668904,Royce Lewis,False,MIN,lewir003
680777,Ryan Jeffers,False,MIN,jeffr002
668952,Ryan Kreidler,False,MIN,kreir001
671737,Taj Bradley,True,MIN,bradt002
573124,Taylor Rogers,True,MIN,roget001
667297,Tommy Nance,True,MIN,nanct001
701519,Travis Adams,True,MIN,adamt002
663616,Trevor Larnach,False,MIN,larnt001
605170,Victor Caratini,False,MIN,carav001
672782,Yoendrys Gómez,True,MIN,gomey002
805673,Zebby Matthews,True,MIN,mattz001
605400,Aaron Nola,True,PHI,nolaa001
664761,Alec Bohm,False,PHI,bohma001
669016,Brandon Marsh,False,PHI,marsb002
548384,Brooks Raley,True,PHI,raleb001
650559,Bryan De La Cruz,False,PHI,delab001
547180,Bryce Harper,False,PHI,harpb003
681082,Bryson Stott,False,PHI,stotb001
663767,Chase Shugart,True,PHI,shugc001
650911,Cristopher Sánchez,True,PHI,sancc002
656537,Derek Hill,False,PHI,hilld002
624641,Edmundo Sosa,False,PHI,sosae001
596117,Garrett Stubbs,False,PHI,stubg001
592663,J.T. Realmuto,False,PHI,realj001
666200,Jesús Luzardo,True,PHI,luzaj001
661395,Jhoan Duran,True,PHI,duraj002
680742,Jonathan Bowlan,True,PHI,bowlj001
621237,José Alvarado,True,PHI,alvaj004
656941,Kyle Schwarber,False,PHI,schwk001
650333,Luis Arraez,False,PHI,arral001
689147,Orion Kerkering,True,PHI,kerko001
641835,Tim Mayza,True,PHI,mayzt001
607208,Trea Turner,False,PHI,turnt001
554430,Zack Wheeler,True,PHI,wheez001
700363,AJ Smith-Shawver,True,ATL,smita001
663586,Austin Riley,False,ATL,rilea001
608718,Brent Suter,True,ATL,suteb001
693821,Bryce Elder,True,ATL,eldeb001
519242,Chris Sale,True,ATL,salec001
800311,Didier Fuentes,True,ATL,fuend001
642086,Dominic Smith,False,ATL,smitd008
686948,Drake Baldwin,False,ATL,baldd001
689266,Dylan Dodd,True,ATL,doddd001
669276,Dylan Lee,True,ATL,lee-d005
656550,Grant Holmes,True,ATL,holmg001
673490,Ha-Seong Kim,False,ATL,kim-h002
657041,Lane Thomas,False,ATL,thoml002
527048,Martín Pérez,True,ATL,perem004
621566,Matt Olson,False,ATL,olsom001
643289,Mauricio Dubón,False,ATL,dubom001
671739,Michael Harris II,False,ATL,harrm004
573262,Mike Yastrzemski,False,ATL,yastm001
645277,Ozzie Albies,False,ATL,albio001
628452,Raisel Iglesias,True,ATL,igler001
678061,Ray Kerr,True,ATL,kerrr001
660670,Ronald Acuña Jr.,False,ATL,acunr001
669221,Sean Murphy,False,ATL,murps001
641816,Tyler Mahle,True,ATL,mahlt001
682989,Victor Mederos,True,ATL,medev001
643217,Andrew Benintendi,False,CHW,benia002
641743,Anthony Kay,True,CHW,kay-a001
686668,Brenton Doyle,False,CHW,doylb001
663542,Bryan Hudson,True,CHW,hudsb001
805367,Chase Meidroth,False,CHW,meidc001
695657,Colson Montgomery,False,CHW,montc004
691011,Drew Romo,False,CHW,romod001
607200,Erick Fedde,True,CHW,fedde001
691799,Grant Taylor,True,CHW,taylg002
623211,Huascar Brazobán,True,CHW,brazh001
668670,Jake Rogers,False,CHW,rogej004
663855,Jordan Hicks,True,CHW,hickj002
664353,José Urquidy,True,CHW,urquj001
622491,Luis Castillo,True,CHW,castl003
682668,Luisangel Acuña,False,CHW,acunl001
678246,Miguel Vargas,False,CHW,vargm001
545341,Randal Grichuk,False,CHW,gricr001
680732,Sean Burke,True,CHW,burks001
656794,Sean Newcomb,True,CHW,newcs001
670950,Trevor Richards,True,CHW,richt001
671976,Tristan Peters,False,CHW,petet002
682663,Agustín Ramírez,False,MIA,ramia004
640459,Brian Navarreto,False,MIA,navab001
806188,Cade Gibson,True,MIA,gibsc001
676534,Calvin Faucher,True,MIA,faucc001
665923,Esteury Ruiz,False,MIA,ruize001
691587,Eury Pérez,True,MIA,peree004
688363,Graham Pauley,False,MIA,paulg001
665052,Griffin Conine,False,MIA,conig001
681715,Heriberto Hernández,False,MIA,hernh001
805300,Jakob Marsee,False,MIA,marsj002
676083,Janson Junk,True,MIA,junkj001
691594,Javier Sanoja,False,MIA,sanoj001
667463,John King,True,MIA,kingj002
677870,Leo Jiménez,False,MIA,jimel003
656848,Michael Petersen,True,MIA,petem001
672640,Otto Lopez,False,MIA,lopeo001
683357,Owen Caissie,False,MIA,caiso001
664126,Pete Fairbanks,True,MIA,fairp001
687473,Ryan Gusto,True,MIA,gustr001
645261,Sandy Alcantara,True,MIA,alcas001
663969,Tyler Phillips,True,MIA,philt002
676604,Tyler Zuber,True,MIA,zubet001
680767,Victor Vodnik,True,MIA,vodnv001
669364,Xavier Edwards,False,MIA,edwax001
645305,Ali Sánchez,False,NYY,sanca009
642708,Amed Rosario,False,NYY,rosaa003
669224,Austin Wells,False,NYY,wella002
700250,Ben Rice,False,NYY,riceb001
687396,Brent Headrick,True,NYY,headb001
693645,Cam Schlittler,True,NYY,schlc001
607074,Carlos Rodón,True,NYY,rodoc001
670280,David Bednar,True,NYY,bednd001
518585,Fernando Cruz,True,NYY,cruzf002
543037,Gerrit Cole,True,NYY,coleg001
671218,Heliot Ramos,False,NYY,ramoh002
665862,Jazz Chisholm Jr.,False,NYY,chisj001
676609,José Caballero,False,NYY,cabaj001
671277,Luis García Jr.,False,NYY,garcl006
621112,Paul Blackburn,True,NYY,blacp001
502671,Paul Goldschmidt,False,NYY,goldp001
641857,Ryan McMahon,False,NYY,mcmar001
677960,Ryan Weathers,True,NYY,weatr001
642232,Ryan Yarbrough,True,NYY,yarbr001
657612,Tim Hill,True,NYY,hillt002
663757,Trent Grisham,False,NYY,grist001
701542,Will Warren,True,NYY,warrw001
660787,Yerry De los Santos,True,NYY,deloy001
676879,Aaron Ashby,True,MIL,ashba003
683734,Andrew Vaughn,False,MIL,vauga001
622608,Antonio Senzatela,True,MIL,senza001
668930,Brice Turang,False,MIL,turab002
669060,Bryse Wilson,True,MIL,wilsb003
694477,Chad Patrick,True,MIL,patrc001
592885,Christian Yelich,False,MIL,yelic001
669084,DL Hall,True,MIL,halld004
666152,David Hamilton,False,MIL,hamid002
669160,Dustin May,True,MIL,may-d003
669003,Garrett Mitchell,False,MIL,mitcg001
596142,Gary Sánchez,False,MIL,sancg002
681982,Grant Anderson,True,MIL,andeg002
694192,Jackson Chourio,False,MIL,chouj001
694819,Jacob Misiorowski,True,MIL,misij001
641343,Jake Bauers,False,MIL,bauej001
687401,Joey Ortiz,False,MIL,ortij005
680716,Jonathan Ornelas,False,MIL,ornej001
690986,Kyle Harrison,True,MIL,harrk001
701656,Logan Henderson,True,MIL,hendl002
